《标准日本语》 中级 上册

第1课
太陽 (たいよう) (1)	[名] 太阳
閉め出す (しめだす) (3)	[动1] 关在外面
逃げ出す (にげだす) (3)	[动1] 逃出
飛び出す (とびだす) (3)	[动1] 跳出
乗り出す (のりだす) (3)	[动1] 探出
誘い出す (さそいだす) (4)	[动1] 约出


第7课
词汇Ⅰ
起こる (おこる) (2)	[动1] 发生
震度 (しんど) (1)	[名] 震级
大地震 (おおじしん) (3)	[名] 大地震
襲う (おそう) (0)	[动1] 袭击
70万戸 (ななじゅまんこ) (5)	[名] 70万户
焼ける (やける) (0)	[动2] 烧
語り伝える (かたりつたえる) (6)	[动2] 流传
日付 (ひづけ) (0)	[名] 日期
足す (たす) (0)	[动1] 加上
物理 (ぶつり) (1)	[名] 物理
学者 (がくしゃ) (0)	[名] 学者
コラム (1)	[名] 专栏
記録 (きろく) (0)	[名] 纪录
ちょっとした (0)	[词组] 有点特别
仕掛け (しかけ) (0)	[名] 把戏
種明かし (たねあかし) (3)	[名] 揭开秘密
合計する (ごうけいする) (0)	[动3] 合计
すべて (1)	[副] 全部，一切
収まる (おさまる) (3)	[动1] 容纳
なぜならば (1)	[接] 因为
もし (1)	[副] 如果
迷信 (めいしん) (0)	[名] 迷信
あっ	[感] 啊
窓ガラス (まどがラス) (3)	[名] 玻璃窗
ガタガタ (1)	[副] 哗哗
揺れる (ゆれる) (0)	[动2] 晃动
怖い (こわい) (2)	[形] 可怕
びっくりする (3)	[动3] 吃惊
平気だ (へいきだ) (0)	[形动] 不在乎，镇静
しょっちゅう (1)	[副] 经常
腰を抜かす (こしをぬかす) (0)+(0)	[惯用] 惊呆
頑丈だ (がんじょうだ) (0)	[形动] 坚固
慌てる (あわてる) (0)	[动2] 慌张
帰って (かえって) (1)	[副] 反而
安全 (あんぜん) (0)	[名] 安全
大正 (たいしょう) (0)	[专] 大正 (日本年号)
関東 (かんとう) (1)	[专] 关东
関東大震災 (かんとうだいしんさい) (1)+(3)	[专] 关东大地震
坪井忠二 (つぼいちゅうじ) (0)+(1)	[专] 坪井忠二 (人名)
大～ (おお)	～戸 (こ)	～によって，…	～というふうに…
…がる	…ほど…	…ことに，…	
～ではないでしょうか	～というものは，…
…くらいなら，…			

词汇Ⅱ
チューリップ (1)	[名] 郁金香
ほっとする (0)	[动3] 松一口气
憎らしい (にくらしい) (4)	[形] 可憎，可恨
犯人 (はんにん) (1)	[名] 犯人
いやだ (2)	[形动] 讨厌，不喜欢
ビル (1)	[名] 高楼，大厦
肺炎 (はいえん) (0)	[名] 肺炎
大雨 (おおあめ) (3)	[名] 大雨
