《标准日本语》 中级 下册

第21课
词汇Ⅰ
守る (まもる) (2)	[动1] 恪守，遵守
リボン (1)	[名] 丝带，缎带
ほどく (2)	[动1] 解开(绳结等)
訪ねる (たずねる) (3)	[动2] 访问，来访
宝石 (ほうせき) (0)	[名] 宝石
豪華だ (ごうかだ) (1)	[形动] 豪华
笑い出す (わらいだす) (4)	[动1] 笑出，笑起来
笑い始める (わらいはじめる) (6)	[动2] 笑起来，开始笑
じっくり (3)	[副] 仔细地，慢慢地
あれあれ	[感] 呀！哎呀！
あらあら	[感] 唉呀！哎哟！
食べかける (たべかける) (4)	[动2] 吃了一半
書きかける (かきかける) (4)	[动2] 写了一半，没有写完
きうきら (1)	[副] 闪烁
光る (ひかる) (2)	[动1] 发光，发亮
農家 (のうか) (1)	[名] 农民，农户
農作業 (のうさぎょう) (3)	[名] 农活，田间劳动
畑 (はたけ) (0)	[名] 旱地，田地
苗 (なえ) (1)	[名] 苗，稻秧
種 (たね) (1)	[名] 种子
蒔く (まく) (1)	[动1] 播，种
刈る (かる) (0)	[动1] 割，割掉
田植え (たうえ) (3)	[名] 插秧
稲刈り (いねかり) (2)	[名] 割稻子
豊作 (ほうさく) (0)	[名] 丰收
耕運機 (こううんき) (3)	[名] 手扶拖拉机
トラクター (2)	[名] 拖拉机


第25课
词汇Ⅰ
大陸 (たいりく) (0)	[名] 大陆
描く (えがく) (2)	[动1] 画，描绘
気づく (きづく) (2)	[动1] 注意到
試しに (ためしに) (3)	[词组] 试，尝试
海岸 (かいがん) (0)	[名] 海岸，海滨
合わせる (あわせる) (3)	[动2] 合起，合并
海岸線 (かいがんせん) (0)	[名] 海岸线
はめ絵 (はめえ) (0)	[名] 拼图玩具，拼贴画
パズル (1)	[名] 难题，谜
重なり合う (かさなりあう) (5)	[动1] 互相重叠
偶然だ (ぐうぜんだ) (0)	[形动] 偶然
気象学者 (きしょうがくしゃ) (5)	[名] 气象学者
なぞ (0)	[名] 谜
ひらめく (3)	[动1] 忽然想出，闪现
くっつく (3)	[动1] 挨着，接合
移動し始める (いどうしはじめる) (7)	[动2] 开始移动
何千 (なんぜん) (3)	[名] 几千
常識 (じょうしき) (0)	[名] 常识
とっぴだ (0)	[形动] 离奇，与众不同
正しさ (ただしさ) (3)	[名] 正确
確信 (かくしん) (0)	[名] 确信
深める (ふかめる) (0)	[动2] 加深
大昔 (おおむかし) (3)	[名] 远古
地層 (ちそう) (0)	[名] 地层
両方 (りょうほう) (0)	[名] 两边，两方
山脈 (さんみゃく) (0)	[名] 山脉
南部 (なんぶ) (1)	[名] 南部
重なる (かさなる) (0)	[动1] 重叠
ぴったり (3)	[副] 正合适，完全一致
一致する (いっちする) (0)	[动3] 一致
化石 (かせき) (0)	[名] 化石
カタツムリ (3)	[名] 蜗牛
西部 (せいぶ) (1)	[名] 西部
東部 (とうぶ) (1)	[名] 东部
こうして (0)	[词组] 这样
氷河 (ひょうが) (1)	[名] 冰川
隔てる (へだてる) (3)	[动2] 隔，间隔
ひとつながり (2)	[名] 连在一起
議論 (ぎろん) (1)	[名] 议论
的 (まと) (0)	[名] 靶子，目标
航海する (こうかいする) (1)	[动3] 航海
原動力 (げんどうりょく) (3)	[名] 原动力
仮説 (かせつ) (0)	[名] (哲学、科学等的)假设
皆 (みな) (0)	[名] 全，都
結局 (けっきょく) (2)	[名] 结果，归根到底
探し出す (さがしだす) (4)	[动1] 找到，找出
忘れ去る (わすれさる) (4)	[动1] 忘记，忘却
急速だ (きゅうそくだ) (0)	[形动] 快速，迅速
海底 (かいてい) (0)	[名] 海底
内部 (ないぶ) (1)	[名] 内部
再び (ふたたび) (0)	[副] 再，又，重
よみがえる (3)	[动2] 复活，复苏
向ける (むける) (0)	[动2] 向，朝
真ん中 (まんなか) (0)	[名] 正中
ほぼ (1)	[副] 大体上，大致
えんえんと (0)	[副] 蜿蜒
一周 (いっしゅう) (0)	[名] 一周，一圈
頂 (いただき) (0)	[名] (山)颠，(物的)顶
沿う (そう) (1)	[动1] 沿，顺
温度 (おんど) (1)	[名] 温度
真下 (ました) (3)	[名] 正下方
岩石 (がんせき) (1)	[名] 岩石
どろどろに (0)	[副] 稠糊
溶ける (とける) (2)	[动2] 溶化
マグマ (1)	[名] 岩浆
沸き上がる (わきあがる) (4)	[动1] 涌现，沸腾
冷え固まる (ひえかたまる) (5)	[动1] 变冷凝固
岩盤 (がんばん) (0)	[名] 岩浆岩，火成岩
完全だ (かんぜんだ) (0)	[形动] 完全
送り出す (おくりだす) (4)	[动1] 送出，发出
年代 (ねんだい) (0)	[名] 年代
数センチメートル (すうセンチメートル) ()	[名] 几厘米
速度 (そくど) (1)	[名] 速度
確実だ (かくじつだ) (0)	[形动] 确实
証明する (しょうめいする) (0)	[动3] 证明，证实
大竹正和 (おおたけまさかず) (0)+(2)	[专] 大竹政和
大西洋 (たいせいよう) (3)	[专] 大西洋
アフリカ大陸 (アフリカたいりく) (5)	[专] 非洲大陆
アメリカ大陸 (アメリカたいりく) (5)	[专] 美洲大陆
南アメリカ (みなみアメリカ) (4)	[专] 南美洲
アルフレッド・ウェゲナー (0)+(1)	[专] 阿尔弗雷德•维格纳
北アメリカ (きたアメリカ) (3)	[专] 北美洲
パンゲア (0)	[专] 泛大陆
大陸移動説 (たいりくいどうせつ) (0)+(2)	[专] 大陆移动说
…ず，…	…につれて，…	～周 (しゅう)	…かけ
…ではあるが，…	～千 (せん)	～にして	
～に沿って (にそって)	数～ (すう)	

词汇Ⅱ
現象 (げんしょう) (0)	[名] 现象
起こり始める (おこりはじめる) (6)	[动2] 开始发生
だます (2)	[动1] 骗，欺骗
見つかる (みつかる) (0)	[动1] 找到，找出
がっかりする (3)	[动3] 失望
深まる (ふかまる) (3)	[动1] 加深
備わる (そなわる) (3)	[动1] 具有，具备
読み進む (よみすすむ) (4)	[动1] 继续读下去
取り組む (とりくむ) (3)	[动1] 专心致志
片目 (かため) (0)	[名] 一只眼睛
設計する (せっけいする) (0)	[动3] 设计
列 (れつ) (1)	[名] 行列，队列
及ぶ (およぶ) (0)	[动1] 达到，长达
節約 (せつやく) (0)	[名] 节约
水分 (すいぶん) (1)	[名] 水分
線路 (せんろ) (1)	[名] 线路，轨道
会場 (かいじょう) (0)	[名] 会场
瓶 (びん) (1)	[名] 瓶子
ジャム (1)	[名] 果酱
こぼれる (3)	[动2] 溢出，洒落
汚れる (よごれる) (0)	[动2] 脏
値下がりする (ねさがりする) (0)	[动3] 价格跌落
地理 (ちり) (1)	[名] 地理
地形 (ちけい) (0)	[名] 地形
陸 (りく) (0)	[名] 陆地
列島 (れっとう) (0)	[名] 列岛，群岛
氷山 (ひょうざん) (1)	[名] 冰山
太平洋 (たいへいよう) (3)	[专] 太平洋
インド洋 (インドよう) (3)	[专] 印度洋
北極 (ほっきょく) (0)	[专] 北极
南極 (なんきょく) (0)	[专] 南极


第26课
词汇Ⅰ
におい (2)	[名] 气味，香味
固有だ (こゆうだ) (0)	[形动] 固有，特有
ワサビ (1)	[名] 山嵛菜
ニラ (0)	[名] 韭菜
シソ (0)	[名] 紫苏
生物 (せいぶつ) (1)	[名] 生物
かおり (0)	[名] 香气，香味
昆虫 (こんちゅう) (0)	[名] 昆虫
呼び寄せる (よびよせる) (4)	[动2] 召集来，请来
花粉 (かふん) (0)	[名] 花粉
おしべ (1)	[名] 雄蕊
めしべ (1)	[名] 雌蕊
葉 (は) (1)	[名] 叶
茎 (くき) (2)	[名] 茎
根 (ね) (1)	[名] 根
管瓶 (かんびん) (0)	[名] 试管
食パン (しょくパン) (0)	[名] 主食面包
密封する (みっぷうする) (0)	[动3] 密封
少量 (しょうりょう) (3)	[名] 少量
おろしワサビ (4)	[名] 山嵛菜泥
摂氏 (せっし) (1)	[名] 摄氏
生える (はえる) (2)	[动2] 生，长
同量 (どうりょう) (0)	[名] 等量
おろす (2)	[动1] 擦碎
刻む (きざむ) (0)	[动1] 切细，剁碎
シリンダー (0)	[名] 圆筒
ミリリットル (4)	[名] 毫升
底 (そこ) (0)	[名] 底部
おろしニンニク (4)	[名] 大蒜泥
切片 (せっぺん) (0)	[名] 切片，碎片
網 (あみ) (2)	[名] 网
ミツバチ (2)	[名] 蜜蜂
ふた (0)	[名] 盖子
はい回る (はいまわる) (4)	[动1] 来回爬
１分後 (いっぷんご) (0)	[词组] 一分钟后
失う (うしなう) (0)	[动1] 丧失，失去
ひっくり返る (ひっくりかえる) (5)	[动2] 倒，翻倒
場合 (ばあい) (0)	[名] 时候，场合
繁殖 (はんしょく) (0)	[名] 繁殖
抑える (おさえる) (3)	[动2] 抑制
能力 (のうりょく) (1)	[名] 能力
呼吸 (こきゅう) (0)	[名] 呼吸
シリンダー内 (シリンダーない) (5)	[词组] 圆筒内
脱臭 (だっしゅう) (0)	[名] 除臭
作用 (さよう) (1)	[名] 作用
活性炭 (かっせいたん) (0)	[名] 活性炭
ガーゼ (1)	[名] 纱布
包む (つつむ) (2)	[动1] 包，裹
ハエ (0)	[名] 蝇，苍蝇
ゴキブリ (0)	[名] 蟑螂
イモリ (1)	[名] 蝾螈
スギ (0)	[名] 杉，柳杉
小動物 (しょうどうぶつ) (3)	[名] 小动物
成長 (せいちょう) (0)	[名] 生长
発芽する (はつがする) (0)	[动3] 发芽
モヤシマメ (3)	[名] 豆芽
ツバキ (1)	[名] 山茶
当てる (あてる) (0)	[动2] 贴近，安，放
花粉管 (かふんかん) (0)	[名] 花粉管
風船 (ふうせん) (0)	[名] 气球
膨れる (ふくれる) (0)	[动2] 膨胀，肿
大量 (たいりょう) (0)	[名] 大量
放射線 (ほうしゃせん) (0)	[名] 放射线
浴びる (あびる) (0)	[动2] 照，浇，淋
状態 (じょうたい) (0)	[名] 状态
デンプン (0)	[名] 淀粉
栄養分 (えいようぶん) (3)	[名] 营养成分
合成する (ごうせいする) (0)	[动3] 合成
周り (まわり) (0)	[名] 周围
害 (がい) (1)	[名] 有害
