《标准日本语》 初级 下册

第26课
情報 (じょうほう) (0)	[名] 信息，情报
得る (える) (1)	[动2] 得到，获得
コマーシャル (2)	[名] 商业广告
流れる (ながれる) (3)	[动2] 播放
公共 (こうきょう) (0)	[名] 公共
広告 (こうこく) (0)	[名] 广告
ごみ (2)	[名] 垃圾
老人 (ろうじん) (0)	[名] 老人，老年人
譲る (ゆずる) (0)	[动1] 让
通す (とおす) (1)	[动1] 通过
呼びかける (よびかける) (4)	[动2] 呼吁，号召
マラソン (0)	[名] 马拉松
放送する (ほうそうする) (0)	[动3] 广播，播放
長所 (ちょうしょ) (1)	[名] 长处，优点
事件 (じけん) (1)	[名] 事件，案件
そのとおり (3)	[词组] 是那样
それにしても (5)	[接续] 即使如此，(也～)
大切だ (たいせつだ) (0)	[形动] 重要，要紧，爱护
だいぶ (0)	[副] 相当，很
機会 (きかい) (2)	[名] 机会
…たら	～なら	～でも	～とか

词汇Ⅱ
返す (かえす) (1)	[动1] 退回，还
やめる (0)	[动2] 停止
じょうぶだ (0)	[形动] 结实
詳しい (くわしい) (3)	[形] 详细
安心する (あんしんする) (0)	[动3] 放心，安心


第37课
词汇Ⅰ
かたかな (3)	[名] 片假名
一生懸命 (いっしょうけんめい) (5)	[名] 一心，努力，拼命
約束 (やくそく) (0)	[名] 约定，约会
国際 (こくさい) (0)	[名] 国际
遠く (とおく) (3)	[名] 远方
鳥 (とり) (0)	[名] 鸟
太陽 (たいよう) (1)	[名] 太阳
光 (ひかり) (3)	[名] 光
反射 (はんしゃ) (0)	[名] 反射
手続き (てつづき) (2)	[名] 手续
通信 (つうしん) (0)	[名] 通讯，通信
手段 (しゅだん) (1)	[名] 手段，工具
もしもし (1)	[感] 喂
営業部 (えいぎょうぶ) (3)	[名] 营业部
どちらさま (1)	[寒暄] 是哪一位？
えっ (2)	[感] 哎！
実は (じつは) (2)	[词组] 说实在的
また (0)	[副词] 又，还
日程 (にってい) (0)	[名] 日程
決まる (きまる) (0)	[动1] 定，决定
連絡する (れんらくする) (0)	[动3] 联系
…(ら)れる	～部 (ぶ)		

词汇Ⅱ
月 (つき) (2)	[名] 月亮
地球 (ちきゅう) (0)	[名] 地球
星 (ほし) (0)	[名] 星星
自然 (しぜん) (0)	[名] 自然
川 (かわ) (2)	[名] 河
島 (しま) (2)	[名] 岛
土 (つち) (2)	[名] 土
湖 (みずうみ) (3)	[名] 湖
森 (もり) (0)	[名] 树林，森林
林 (はやし) (3)	[名] 林
石 (いし) (2)	[名] 石头
直す (なおす) (2)	[动1] 改正，修改，修理
頼む (たのむ) (2)	[动1] 请求
ギター (1)	[名] 吉他
降りる (おりる) (2)	[动2] 下，下车
パーチィー (1)	[名] 晚会，舞会
ためる (0)	[动2] 储蓄
毎晩 (まいばん) (1)	[名] 每天晚上


第38课
词汇Ⅰ
運動 (うんどう) (0)	[名] 体育锻炼，运动
不足 (ふそく) (0)	[名] 不足，缺少
調子 (ちょうし) (0)	[名] 状况，情况
太極拳 (たいきょくけん) (4)	[名] 太极拳
力 (ちから) (3)	[名] 力，力量
動かす (うごかす) (3)	[动1] 活动，转动
ふだん (1)	[名] 平时，平常
そこで (0)	[接续] 因此
比べる (くらべる) (0)	[动2] 相比
座る (すわる) (0)	[动1] 坐
都市 (とし) (1)	[名] 城市，都市
スポーツ･センター (5)	[名] 体育活动中心
希望する (きぼうする) (0)	[动3] 希望
コーチ (1)	[名] 教练
指導する (しどうする) (0)	[动3] 指导
道具 (どうぐ) (3)	[名] 工具，用具
貸す (かす) (0)	[动1] 借，出租
週末 (しゅうまつ) (0)	[名] 周末
久しぶり (ひさしぶり) (0)	[名] 相隔很久
汗 (あせ) (1)	[名] 汗
タオル (1)	[名] 毛巾
気がかりだ (きがかりだ) (2)	[形动] 担心，忧虑
それで (0)	[接续] 于是，所以
確かだ (たしかだ) (1)	[形动] 确实，的确
心 (こころ) (2)	[名] 心
穏やかだ (おだやかだ) (2)	[形动] 安稳，稳定
…てあげる	…てもらう	…てくれる	

词汇Ⅱ
ほめる (3)	[动2] 表扬，赞扬
荷物 (にもつ) (1)	[名] 行李


第39课
词汇Ⅰ
これから (0)	[词组] 从现在起
日記 (にっき) (0)	[名] 日记
晴れ (はれ) (2)	[名] 晴，晴天
のち (2)	[名] 后，以后
曇り (くもり) (3)	[名] 阴，阴天
来年度 (らいねんど) (3)	[名] 明年度，下一年度
海外 (かいがい) (1)	[名] 海外，国外
企画 (きかく) (0)	[名] 计划，规划
出来事 (できごと) (2)	[名] 事情，事件
書き続ける (かきつづける) (5)	[动2] 持续记下去
あと (1)	[名] 后，以后
読み返す (よみかえす) (3)	[动1] 重读，重看
サラリーマン (3)	[名] 公司职员，靠领取薪金生活的人
必ず (かならず) (0)	[副] 一定，肯定
名刺 (めいし) (0)	[名] 名片
持ち歩く (もちあるく) (4)	[动1] 随身携带
つど (1)	[名] 每次，每回
メモ (1)	[名] 笔记，记录
恥ずかしい (はずかしい) (4)	[形] 难为情，害羞
成田 (なりた) (1)	[专] 成田 (地名)
原宿 (はらじゅく) (2)	[专] 原宿 (地名)
…ところ	…はず	～について	

词汇Ⅱ
風 (かぜ) (0)	[名] 风
